"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051603","proteolysis involved in protein catabolic process","9/108","468/17420",0.0192307692307692,3.10185185185185,3.64052838860972,0.00252131809015776,0.0253614937304105,0.0198270834334388,"LOC104439005/LOC104440903/LOC104440905/LOC104440910/LOC104442613/LOC104442616/LOC104450300/LOC120292478/LOC120294225",9
"GO:0030163","protein catabolic process","9/108","475/17420",0.0189473684210526,3.05614035087719,3.58862964011535,0.0027839132050405,0.02720280903211,0.0212665850851214,"LOC104439005/LOC104440903/LOC104440905/LOC104440910/LOC104442613/LOC104442616/LOC104450300/LOC120292478/LOC120294225",9
"GO:0010383","cell wall polysaccharide metabolic process","4/108","102/17420",0.0392156862745098,6.32534495279593,4.26038481977139,0.00372721661781774,0.0354085578692686,0.0276816672785294,"LOC104424824/LOC104433548/LOC104440819/LOC104441382",4
"GO:0022414","reproductive process","6/108","242/17420",0.0247933884297521,3.99908172635445,3.71073166325435,0.00397897446635193,0.0367786288511449,0.0287527600128987,"LOC104420611/LOC104421925/LOC104437008/LOC104455368/LOC120286510/LOC120286603",6
"GO:0140115","export across plasma membrane","4/108","105/17420",0.0380952380952381,6.14462081128748,4.17625143073913,0.00413381366961514,0.0372043230265362,0.0290855587834417,"LOC104422063/LOC104425031/LOC104441844/LOC104443944",4
"GO:0071669","plant-type cell wall organization or biogenesis","4/108","108/17420",0.037037037037037,5.97393689986283,4.0953251936586,0.00456940732037241,0.0400701872709581,0.0313260312921617,"LOC104422490/LOC104440819/LOC104445133/LOC104450842",4
"GO:0006271","DNA strand elongation involved in DNA replication","2/108","18/17420",0.111111111111111,17.9218106995885,5.67326889700142,0.00546107423228289,0.045553350913189,0.0356126535301631,"LOC104444824/LOC104453362",2
"GO:0022616","DNA strand elongation","2/108","18/17420",0.111111111111111,17.9218106995885,5.67326889700142,0.00546107423228289,0.045553350913189,0.0356126535301631,"LOC104444824/LOC104453362",2
"GO:0010315","auxin export across the plasma membrane","2/108","19/17420",0.105263157894737,16.9785575048733,5.50398361739252,0.00607897703509974,0.0483490731628863,0.0377982904997634,"LOC104425031/LOC104443944",2
"GO:0010928","regulation of auxin mediated signaling pathway","2/108","19/17420",0.105263157894737,16.9785575048733,5.50398361739252,0.00607897703509974,0.0483490731628863,0.0377982904997634,"LOC104425031/LOC104443944",2
