"gene","meta.logFC.mean","meta.logFC.weighted","meta.P.Value","meta.adj.P.Val","heterogeneity.variance","direction"
"LOC104418823",0.0189789681786486,-1.34953116660346,0,0,2.84958414746219,"Down"
"LOC104418841",-1.80224045956096,-3.70819587347496,0,0,3.16309552153005,"Down"
"LOC104418874",-1.28592347654735,-1.68973909723852,1.40998324127395e-14,9.38391079757037e-13,0.472987437540796,"Down"
"LOC104418986",1.14410842461704,1.25832893794331,3.35720340416401e-12,1.41134094832418e-10,0.126079418011778,"Up"
"LOC104419046",-0.888809053977938,-1.79626871207047,0,0,2.0888471688066,"Down"
"LOC104419047",1.28363637014423,1.9089871574283,2.33146835171283e-15,1.77145361646713e-13,0.853813455268687,"Up"
"LOC104419129",-0.135546952561528,-1.6482919576263,3.355244335701e-07,4.78421096905032e-06,1.99960786901791,"Down"
"LOC104419256",1.21534043714939,1.65406539101146,0,0,0.59667472505566,"Up"
"LOC104419319",-0.0756119008303403,-1.57880378904239,6.99539093318435e-10,1.79715881435764e-08,2.40593708801609,"Down"
"LOC104419331",-0.421217274371221,-2.99427743381467,1.11383124945519e-11,4.10358076121396e-10,5.37440143870527,"Down"
"LOC104419356",2.19546468074392,3.59226356855664,0,0,3.22859592678039,"Up"
"LOC104419390",1.10259895187464,1.47102723933443,2.22544205286113e-12,9.66557398663487e-11,0.242873068752106,"Up"
"LOC104419414",0.910429017936878,1.52922645153151,4.05675493198032e-13,1.98189843407367e-11,0.726270853434358,"Up"
"LOC104419468",-0.775141415365711,-1.67973558838144,5.80566483776579e-10,1.52064195911832e-08,1.17563449669998,"Down"
"LOC104419505",2.04836412157881,3.46448527463163,0,0,2.33305989634828,"Up"
"LOC104419638",2.32247210513972,3.45378202508556,0,0,4.27705336595032,"Up"
"LOC104419699",3.98979647477211,5.96889706628078,0,0,14.7820782960144,"Up"
"LOC104419701",3.28763833795986,6.93108794399412,0,0,10.0748040373986,"Up"
"LOC104419738",-0.934052587743821,-1.52978280111194,2.21505169761826e-09,5.13038873763553e-08,0.715028249143851,"Down"
"LOC104419743",1.23050977956175,1.18257035755174,3.36469747619361e-08,6.07707414201945e-07,0.081248938580708,"Up"
"LOC104419776",1.8934908502317,2.36991473084659,1.11022302462516e-16,1.01977026518737e-14,1.88874628775219,"Up"
"LOC104420143",-1.20333431328801,-1.45847775153817,2.0850643434045e-10,6.02624038302285e-09,0.219237211240034,"Down"
"LOC104420490",-0.0153859516808218,-1.33741753007974,4.35784741625866e-12,1.76825757263954e-10,1.75075948580678,"Down"
"LOC104420611",-1.54633546786011,-1.84068081168311,2.55351295663786e-15,1.92381379241528e-13,0.212047790082165,"Down"
"LOC104420933",0.980404813345492,1.64093251754071,1.65884339597966e-09,3.94431194357894e-08,0.604157044387614,"Up"
"LOC104421023",0.115310290804014,1.21294779799704,8.16181467966359e-08,1.34712634783543e-06,1.23973897814836,"Up"
"LOC104421046",1.334313655176,1.69348696973588,0,0,0.27482424279714,"Up"
"LOC104421062",1.68137453264082,2.75031809649021,1.45199650414263e-07,2.26287032176696e-06,2.72232148796165,"Up"
"LOC104421065",-0.988279485677219,-1.51552254413693,7.69708075054609e-10,1.96300879988061e-08,0.630114985901949,"Down"
"LOC104421211",-0.942411420330651,-1.59837163195642,2.53496845736834e-09,5.79628209676693e-08,0.634470831730349,"Down"
"LOC104421212",-1.51785963039806,-1.89639761170633,6.45483666517066e-13,3.03196452183086e-11,1.90527624688294,"Down"
"LOC104421213",-1.4201123362655,-2.21614939997846,1.64081092490775e-07,2.52775357937684e-06,1.54564409568723,"Down"
"LOC104421217",1.18305475760145,2.00666792750182,2.6839468777462e-06,3.02208812796099e-05,1.04576540317489,"Up"
"LOC104421244",-0.163280808105636,-1.92925530721662,1.98741689771964e-10,5.76264957986362e-09,2.78038699595272,"Down"
"LOC104421641",1.74264511821517,2.39783993549021,4.10782519111308e-15,3.05196618977407e-13,2.22957524675922,"Up"
"LOC104421697",0.866747298573197,1.38852581769192,3.06421554796543e-14,1.86784830027229e-12,1.25707372424654,"Up"
"LOC104421753",1.2392854333397,2.24244941617812,1.27558791307436e-08,2.57043902453549e-07,1.2785276298052,"Up"
"LOC104421832",1.72850931461493,1.89478859302185,0,0,0.343252196812982,"Up"
