"gene","meta.logFC.mean","meta.logFC.weighted","meta.P.Value","meta.adj.P.Val","heterogeneity.variance","direction"
"LOC104420143",-1.20333431328801,-1.45847775153817,2.0850643434045e-10,6.02624038302285e-09,0.219237211240034,"Down"
"LOC104420490",-0.0153859516808218,-1.33741753007974,4.35784741625866e-12,1.76825757263954e-10,1.75075948580678,"Down"
"LOC104420611",-1.54633546786011,-1.84068081168311,2.55351295663786e-15,1.92381379241528e-13,0.212047790082165,"Down"
"LOC104421065",-0.988279485677219,-1.51552254413693,7.69708075054609e-10,1.96300879988061e-08,0.630114985901949,"Down"
"LOC104421211",-0.942411420330651,-1.59837163195642,2.53496845736834e-09,5.79628209676693e-08,0.634470831730349,"Down"
"LOC104421212",-1.51785963039806,-1.89639761170633,6.45483666517066e-13,3.03196452183086e-11,1.90527624688294,"Down"
"LOC104421213",-1.4201123362655,-2.21614939997846,1.64081092490775e-07,2.52775357937684e-06,1.54564409568723,"Down"
"LOC104421244",-0.163280808105636,-1.92925530721662,1.98741689771964e-10,5.76264957986362e-09,2.78038699595272,"Down"
"LOC104421925",-1.08573739379832,-1.58356498195196,9.26675017165479e-07,1.16141825399044e-05,0.840124404541242,"Down"
"LOC104421943",-1.10559008631337,-1.93085481858863,4.50257575668189e-09,9.85021079689764e-08,0.967459315023886,"Down"
"LOC104421949",-1.06638515544043,-1.73802533126973,4.44089209850063e-16,3.80540469565129e-14,1.00901148741987,"Down"
"LOC104422063",0.0492015679304379,-1.12949563679157,3.79570530562034e-09,8.44341477652522e-08,1.81371104235195,"Down"
"LOC104422159",-0.956322513680475,-1.35465260255251,1.53904259336812e-08,3.01994313605319e-07,0.255393658374182,"Down"
"LOC104422187",-0.985682067726959,-1.43990003467295,1.4223835109739e-08,2.82381555498379e-07,0.362664026610867,"Down"
"LOC104422490",-0.971291605410042,-1.5805617205846,6.06458010699029e-07,8.01666353127583e-06,0.548992504051487,"Down"
"LOC104422948",-0.73059171992182,-1.04975351919821,1.80351065515172e-06,2.10404346593407e-05,0.442620401033717,"Down"
"LOC104422980",-1.23694552089997,-1.85153816344886,2.00950367457153e-14,1.26518540036815e-12,0.693535039551608,"Down"
"LOC104423019",-0.827596253375562,-1.37501006017371,4.93431257120314e-06,5.19196537749075e-05,0.504553517754705,"Down"
"LOC104423108",-0.725748432538653,-1.24941927535748,3.43782337042242e-06,3.77583376814495e-05,1.25117504782772,"Down"
"LOC104424069",-1.19207046111078,-1.78641301573629,8.88178419700125e-16,7.21873739235668e-14,0.673644128926417,"Down"
"LOC104424341",-2.1581427458376,-2.28643894547579,1.45328193923433e-13,7.74919977976222e-12,3.38534212405285,"Down"
"LOC104424824",-1.16359160008248,-1.58404813177753,1.24672161483375e-10,3.78261543342261e-09,0.845434752355738,"Down"
"LOC104425031",-0.924093835183152,-1.65531260184557,2.81889422915071e-09,6.38560490878812e-08,0.714492691349737,"Down"
"LOC104425340",-2.00982659792479,-2.25739068540456,6.11888317791909e-11,1.99895938751483e-09,3.29129834725187,"Down"
"LOC104425649",-1.58062945114985,-2.7598947189819,0,0,1.4989782581342,"Down"
"LOC104425674",-1.29074671946809,-1.48670208964867,4.24416057853705e-12,1.72834811712865e-10,0.11165497471251,"Down"
"LOC104425845",-1.91385351710621,-2.49606118172295,4.04598576864146e-12,1.65171056774327e-10,1.84711892456753,"Down"
"LOC104426333",-1.21893106136302,-2.21719821233059,8.76439143482344e-10,2.19691348292897e-08,1.063462909376,"Down"
"LOC104426357",-1.03933787067378,-1.89212654222028,8.99280649946377e-15,6.20041293373053e-13,0.750280435321984,"Down"
"LOC104426370",-1.12727362172527,-1.68264190847314,8.69304628281498e-14,4.8272504006497e-12,0.535695230637167,"Down"
"LOC104426396",-1.1202392848661,-1.68658686064569,9.80349135204506e-12,3.66721675806416e-10,0.446130569891538,"Down"
"LOC104426845",-1.08674158828159,-1.41507158865122,0,0,0.813116098853858,"Down"
"LOC104428135",-0.764279029008662,-1.06376805684038,2.87149973798861e-08,5.2678860788367e-07,0.426328862784621,"Down"
"LOC104428248",-0.107222201880794,-1.51984982617085,1.25060163547186e-06,1.5205070927013e-05,2.32624011420761,"Down"
"LOC104429625",-0.391928684458181,-2.82163273746099,1.42290280891189e-07,2.22361081826688e-06,5.9752393873271,"Down"
"LOC104430693",-1.42484453028659,-2.08755859695756,2.00153782436985e-10,5.79107292205218e-09,1.52510782191768,"Down"
"LOC104431554",0.0977964937697626,-1.42161428154215,3.58271190492587e-10,9.85811906989289e-09,4.95616684775087,"Down"
"LOC104432885",-0.895338480085258,-1.47997589896679,8.13328848714434e-10,2.0618424434187e-08,0.582535817939621,"Down"
"LOC104432894",-2.78406027517702,-4.19631500078203,0,0,6.58408726369828,"Down"
"LOC104433044",-0.893845410519399,-1.23591725313181,2.50417369263012e-06,2.84113547419765e-05,0.485674312564179,"Down"
"LOC104433378",-1.12915878135902,-1.81559109501771,3.40234058704425e-08,6.13679736954363e-07,0.867717749696618,"Down"
"LOC104433548",-1.71420340762082,-3.35922365308803,6.71421219733404e-08,1.12819883555656e-06,2.64355133625841,"Down"
"LOC104433611",-1.21797568506343,-1.28795030634801,3.84664855523908e-10,1.04635862981813e-08,0.199703228164198,"Down"
"LOC104433765",-0.221380659325203,-1.73535151300891,1.32782673745169e-13,7.13700218941718e-12,3.32037475695846,"Down"
"LOC104433770",-1.42306611597294,-2.89114849738397,0,0,1.76651025630676,"Down"
