"gene","meta.logFC.mean","meta.logFC.weighted","meta.P.Value","meta.adj.P.Val","heterogeneity.variance","direction"
"LOC104417839",1.83970187785916,2.00566471179447,0,0,1.49183742914411,"Up"
"LOC104418211",0.959447697437878,1.27796672049991,1.72347947025031e-09,4.07991552264639e-08,0.596741393592455,"Up"
"LOC104418418",1.00838595764784,1.52870053407376,4.62555631575157e-08,8.0612115623634e-07,0.301543894420753,"Up"
"LOC104418516",2.95376362456314,4.20265843387843,0,0,4.69172993307109,"Up"
"LOC104418746",1.20300566468871,2.20454656461677,6.44681836692307e-07,8.47183319055579e-06,0.952874805903299,"Up"
"LOC104418799",1.97465215446026,3.28506798816081,0,0,3.0958311462809,"Up"
"LOC104418986",1.14410842461704,1.25832893794331,3.35720340416401e-12,1.41134094832418e-10,0.126079418011778,"Up"
"LOC104419047",1.28363637014423,1.9089871574283,2.33146835171283e-15,1.77145361646713e-13,0.853813455268687,"Up"
"LOC104419256",1.21534043714939,1.65406539101146,0,0,0.59667472505566,"Up"
"LOC104419356",2.19546468074392,3.59226356855664,0,0,3.22859592678039,"Up"
"LOC104419390",1.10259895187464,1.47102723933443,2.22544205286113e-12,9.66557398663487e-11,0.242873068752106,"Up"
"LOC104419414",0.910429017936878,1.52922645153151,4.05675493198032e-13,1.98189843407367e-11,0.726270853434358,"Up"
"LOC104419505",2.04836412157881,3.46448527463163,0,0,2.33305989634828,"Up"
"LOC104419638",2.32247210513972,3.45378202508556,0,0,4.27705336595032,"Up"
"LOC104419699",3.98979647477211,5.96889706628078,0,0,14.7820782960144,"Up"
"LOC104419701",3.28763833795986,6.93108794399412,0,0,10.0748040373986,"Up"
"LOC104419743",1.23050977956175,1.18257035755174,3.36469747619361e-08,6.07707414201945e-07,0.081248938580708,"Up"
"LOC104419776",1.8934908502317,2.36991473084659,1.11022302462516e-16,1.01977026518737e-14,1.88874628775219,"Up"
"LOC104420933",0.980404813345492,1.64093251754071,1.65884339597966e-09,3.94431194357894e-08,0.604157044387614,"Up"
"LOC104421023",0.115310290804014,1.21294779799704,8.16181467966359e-08,1.34712634783543e-06,1.23973897814836,"Up"
"LOC104421046",1.334313655176,1.69348696973588,0,0,0.27482424279714,"Up"
